iter	RMSE
399	4331249.269
400	4321225.905
401	4315375.209
402	4310406.873
403	4306645.435
404	4303762.146
405	4300690.523
406	4298903.533
407	4293066.11
408	4292492.281
409	4289253.066
410	4287449.574
411	4282542.938
412	4281642.314
413	4277521.004
414	4276041.233
415	4273822.367
416	4267098.039
417	4264344.799
418	4261364.534
419	4260870.352
420	4256879.859
421	4252456.816
422	4248495.661
423	4245668.277
424	4242166.876
425	4240442.336
426	4238981.8
427	4237624.918
428	4233777.265
429	4230963.283
430	4230643.926
431	4221631.157
432	4218722.642
433	4213866.97
434	4211045.331
435	4210041.254
436	4208364.853
437	4202096.825
438	4196085.653
439	4193779.219
440	4192398.21
441	4184524.955
442	4180937.691
443	4178970.179
444	4177939.333
445	4177621.237
446	4175907.274
447	4174758.483
448	4172858.096
449	4169184.602
450	4161489.431
451	4160882.006
452	4159846.154
453	4155530.039
454	4150837.392
455	4147693.518
456	4139850.65
457	4134719.919
458	4134140.09
459	4133574.972
460	4132933.544
461	4130470.449
462	4127365.888
463	4122807.499
464	4121135.97
465	4119309.131
466	4119012.759
467	4116893.479
468	4113646.651
469	4109262.729
470	4106022.408
471	4102978.328
472	4096708.017
473	4096269.789
474	4095475.792
475	4094144.558
476	4092136.556
477	4091446.831
478	4089957.902
479	4086744.411
480	4085238.355
481	4082668.359
482	4078314.311
483	4074665.711
484	4070966.473
485	4070011.025
486	4068946.069
487	4067900.505
488	4064460.507
489	4059907.683
490	4054184.052
491	4052786.092
492	4051364.705
493	4045571.424
494	4043824.358
495	4042364.219
496	4040558.498
497	4036944.882
498	4035688.782
499	4033334.196
500	4032731.114
501	4031092.517
502	4027529.092
503	4026115.782
504	4022403.41
505	4018711.127
506	4015211.919
507	4012541.344
508	4011357.895
509	4008218.074
510	4004805.719
511	4004225.142
512	3997865.011
513	3994725.429
514	3992681.144
515	3990611.178
516	3987191.614
517	3984902.162
518	3982016.122
519	3976064.602
520	3971979.9
521	3968404.991
522	3966102.149
523	3964729.951
524	3962928.107
525	3955047.073
526	3953845.687
527	3947584.132
528	3944446.668
529	3944105.347
530	3943092.871
531	3939783.684
532	3938001.332
533	3936662.83
534	3933397.151
535	3930321.218
536	3924588.127
537	3921272.256
538	3920608.875
539	3918046.648
540	3917068.711
541	3915275.663
542	3914560.552
543	3912404.62
544	3910775.986
545	3909962.443
546	3909014.472
547	3904649.579
548	3902544.18
549	3895526.109
550	3893075.535
551	3892744.869
552	3892358.242
553	3891715.021
554	3891416.747
555	3887727.319
556	3881796.45
557	3881214.213
558	3878757.719
559	3873279.167
560	3869048.324
561	3868345.572
562	3864210.683
563	3859156.386
564	3857852.4
565	3852606.377
566	3850577.953
567	3846902.086
568	3844674.857
569	3843097.244
570	3838457.024
571	3835600.63
572	3831805.646
573	3829938.85
574	3828625.126
575	3826821.231
576	3824951.714
577	3819666.991
578	3815763.988
579	3814156.889
580	3807638.319
581	3807106.588
582	3803898.616
583	3803301.279
584	3802742.574
585	3799197.196
586	3795790.614
587	3790897.933
588	3786206.024
589	3783139.103
590	3781432.927
591	3778226.361
592	3776654.487
593	3773086.015
594	3766679.883
595	3765005.908
596	3763816.404
597	3762263.224
598	3759292.389
599	3753333.204
600	3752985.881
601	3748151.469
602	3745797.57
603	3743525.727
604	3741665.289
605	3737337.046
606	3732495.24
607	3731326.498
608	3728756.586
609	3724080.541
610	3720422.103
611	3719636.617
612	3715635.308
613	3712929.856
614	3710233.875
615	3704021.771
616	3702335.682
617	3701128.195
618	3697753.539
619	3694389.138
620	3691534.352
621	3688208.374
622	3684931.989
623	3680429.6
624	3678692.032
625	3678181.754
626	3676857.549
627	3672042.647
628	3670376.566
629	3667456.531
630	3663071.251
631	3659382.049
632	3657747.175
633	3656604.326
634	3655479.415
635	3650061.346
636	3645281.109
637	3644228.04
638	3643394.504
639	3642031.539
640	3637719.385
641	3630063.03
642	3627853.639
643	3625432.729
644	3620182.195
645	3619164.031
646	3616658.021
647	3613907.83
648	3610861.189
649	3609167.305
650	3608181.259
651	3604678.231
652	3600802.836
653	3599123.107
654	3594886.874
655	3593740.609
656	3586297.005
657	3584504.535
658	3582959.659
659	3579451.442
660	3577534.167
661	3575691.456
662	3574790.718
663	3573856.162
664	3573240.621
665	3568975.949
666	3565893.059
667	3564285.272
668	3561421.023
669	3554143.1
670	3547731.421
671	3546300.959
672	3545154.885
673	3542321.491
674	3541610.397
675	3540660.606
676	3539528.77
677	3535933.275
678	3533133.382
679	3530038.154
680	3528525.91
681	3523610.916
682	3522011.63
683	3521313.84
684	3520252.258
685	3517496.472
686	3516951.668
687	3512074.235
688	3511381.973
689	3509869.171
690	3509036.368
691	3507206.545
692	3500160.873
693	3496276.889
694	3495128.434
695	3494895.85
696	3494738.41
697	3494211.481
698	3493145.949
699	3492109.041
700	3491495.562
701	3489915.853
702	3486254.191
703	3480993.802
704	3479523.359
705	3477020.052
706	3474564.127
707	3469508.445
708	3466188.631
709	3462751.762
710	3457898.77
711	3456876.046
712	3456535.816
713	3455363.239
714	3454775.591
715	3451423.005
716	3450772.894
717	3449065.295
718	3448102.866
719	3444070.233
720	3437115.724
721	3434356.595
722	3427618.889
723	3425493.287
724	3424894.861
725	3423777.101
726	3422261.845
727	3420556.326
728	3416798.825
729	3416233.33
730	3411944.921
731	3407775.289
732	3406724.089
733	3403796.198
734	3401569.013
735	3400730.545
736	3398797.432
737	3393411.956
738	3388844.801
739	3388576.724
740	3387140.453
741	3382928.718
742	3382310.155
743	3382022.414
744	3381835.243
745	3381053.79
746	3379667.588
747	3376617.328
748	3376034.985
749	3373404.658
750	3371986.463
751	3371081.404
752	3369461.345
753	3364206.076
754	3362936.173
755	3359561.805
756	3358760.284
757	3358505.566
758	3356125.163
759	3351878.205
760	3346970.381
761	3346575.602
762	3346355.777
763	3344694.632
764	3343537.511
765	3342074.413
766	3340972.036
767	3338023.395
768	3335311.575
769	3334874.971
770	3334132.589
771	3332557.087
772	3332135.404
773	3331183.169
774	3330799.896
775	3330653.027
776	3327073.164
777	3325843.128
778	3323369.139
779	3322571.465
780	3319368.143
781	3318488.71
782	3314499.203
783	3309074.844
784	3307066.628
785	3303860.55
786	3301583.135
787	3298651.099
788	3297800.814
789	3296561.32
790	3295552.234
791	3295071.481
792	3292777.866
793	3291878.186
794	3288646.535
795	3285076.49
796	3280061.909
797	3278551.075
798	3277964.652
